epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,3120.35,1.3203,1.03701,1.36878,0.81542,0.6768,0.75854,0.4614,1.43506,0.95861,1.43415,0.003961,0.003961,0.003961
63,3171.13,1.31249,1.01407,1.36586,0.81231,0.67775,0.75592,0.46335,1.42598,0.95377,1.43075,0.003862,0.003862,0.003862
64,3221.75,1.30342,1.0142,1.36256,0.82433,0.67148,0.75719,0.46181,1.42298,0.95566,1.42949,0.003763,0.003763,0.003763
65,3272.19,1.2916,0.99969,1.34546,0.82055,0.67693,0.7618,0.46441,1.42515,0.9417,1.4323,0.003664,0.003664,0.003664
66,3322.63,1.30202,1.01299,1.35643,0.83364,0.67332,0.75809,0.4657,1.41421,0.9441,1.42295,0.003565,0.003565,0.003565
67,3373.18,1.2991,1.01047,1.35709,0.82666,0.68576,0.76174,0.46672,1.40077,0.93381,1.41931,0.003466,0.003466,0.003466
68,3423.53,1.28814,0.99458,1.35068,0.82799,0.68529,0.76834,0.47205,1.40512,0.92827,1.41671,0.003367,0.003367,0.003367
69,3473.97,1.27858,0.9756,1.34183,0.8438,0.68128,0.77205,0.47496,1.40781,0.91996,1.41404,0.003268,0.003268,0.003268
70,3524.29,1.27619,0.98034,1.33834,0.82898,0.68553,0.7694,0.47327,1.41188,0.9119,1.42215,0.003169,0.003169,0.003169
71,3574.83,1.26468,0.96802,1.3367,0.81922,0.70132,0.77084,0.47829,1.39975,0.9048,1.41086,0.00307,0.00307,0.00307
72,3625.35,1.2683,0.95599,1.32465,0.845,0.6824,0.77038,0.4759,1.39815,0.90832,1.40752,0.002971,0.002971,0.002971
73,3675.75,1.26259,0.97371,1.33197,0.83722,0.68505,0.77318,0.48044,1.38824,0.9015,1.40425,0.002872,0.002872,0.002872
74,3726.75,1.25411,0.94747,1.32187,0.83603,0.69142,0.77629,0.48427,1.38024,0.8949,1.39694,0.002773,0.002773,0.002773
75,3780.7,1.24343,0.94139,1.31583,0.8419,0.6959,0.77854,0.48492,1.37552,0.88749,1.38721,0.002674,0.002674,0.002674
76,3831.36,1.2504,0.94175,1.32223,0.84358,0.69213,0.77772,0.48424,1.38033,0.88887,1.39037,0.002575,0.002575,0.002575
77,3882.17,1.2453,0.93922,1.31738,0.83748,0.70156,0.7778,0.48633,1.37689,0.88418,1.39119,0.002476,0.002476,0.002476
78,3932.76,1.23278,0.9181,1.30274,0.85547,0.69826,0.77782,0.48771,1.37515,0.8828,1.38797,0.002377,0.002377,0.002377
79,3983.46,1.22805,0.90903,1.30537,0.84373,0.70769,0.78157,0.48908,1.37564,0.87814,1.38911,0.002278,0.002278,0.002278
80,4033.96,1.22093,0.91636,1.30053,0.83671,0.71169,0.78411,0.49264,1.36759,0.8729,1.37904,0.002179,0.002179,0.002179
81,4084.29,1.20647,0.90145,1.28996,0.85623,0.69498,0.78588,0.49697,1.36652,0.86169,1.37963,0.00208,0.00208,0.00208
82,4134.98,1.2084,0.89716,1.29073,0.84513,0.71664,0.78772,0.49587,1.3669,0.8623,1.38101,0.001981,0.001981,0.001981
83,4185.41,1.19444,0.87639,1.28201,0.83877,0.7124,0.78674,0.49435,1.36936,0.86594,1.38185,0.001882,0.001882,0.001882
84,4235.93,1.20045,0.88868,1.287,0.84551,0.70721,0.78619,0.49694,1.36545,0.86063,1.37554,0.001783,0.001783,0.001783
85,4286.56,1.19651,0.88593,1.28168,0.85435,0.70886,0.78883,0.4966,1.36622,0.85872,1.37774,0.001684,0.001684,0.001684
86,4337.22,1.19279,0.87892,1.27902,0.86021,0.70886,0.79027,0.49786,1.36841,0.8543,1.38053,0.001585,0.001585,0.001585
87,4387.56,1.18359,0.86899,1.27309,0.85251,0.71538,0.79188,0.50011,1.36269,0.84726,1.37544,0.001486,0.001486,0.001486
88,4438.13,1.18398,0.8667,1.27301,0.84543,0.71924,0.79228,0.50236,1.35693,0.84308,1.36818,0.001387,0.001387,0.001387
89,4488.89,1.17398,0.85539,1.26813,0.84449,0.71853,0.79231,0.50195,1.35652,0.84073,1.37147,0.001288,0.001288,0.001288
90,4539.42,1.16957,0.849,1.26548,0.8424,0.72513,0.79157,0.50171,1.35238,0.83799,1.36619,0.001189,0.001189,0.001189
